Gene Group 1	Enrichment Score: 6.724861868546571
DYRK1A	dual specificity tyrosine phosphorylation regulated kinase 1A(DYRK1A)
CLK3	CDC like kinase 3(CLK3)
CLK2	CDC like kinase 2(CLK2)
PRKX	protein kinase cAMP-dependent X-linked catalytic subunit(PRKX)
MAPKAPK3	MAPK activated protein kinase 3(MAPKAPK3)
MKNK1	MAPK interacting serine/threonine kinase 1(MKNK1)
MAP2K5	mitogen-activated protein kinase kinase 5(MAP2K5)
SNRK	SNF related kinase(SNRK)
SRPK2	SRSF protein kinase 2(SRPK2)
HIPK3	homeodomain interacting protein kinase 3(HIPK3)
MAPK6	mitogen-activated protein kinase 6(MAPK6)
CSNK2A2	casein kinase 2 alpha 2(CSNK2A2)
CSNK2A1	casein kinase 2 alpha 1(CSNK2A1)

Gene Group 7	Enrichment Score: 4.388307215877628
OFFICIAL_GENE_SYMBOL	Gene Name
RBMX2	RNA binding motif protein X-linked 2(RBMX2)
EIF4B	eukaryotic translation initiation factor 4B(EIF4B)
IGF2BP3	insulin like growth factor 2 mRNA binding protein 3(IGF2BP3)
RBM23	RNA binding motif protein 23(RBM23)
SAFB	scaffold attachment factor B(SAFB)
RBMX	RNA binding motif protein X-linked(RBMX)
FUS	FUS RNA binding protein(FUS)
TIAL1	TIA1 cytotoxic granule associated RNA binding protein like 1(TIAL1)
HTATSF1	HIV-1 Tat specific factor 1(HTATSF1)
NONO	non-POU domain containing octamer binding(NONO)
ZNF638	zinc finger protein 638(ZNF638)
PABPC1	poly(A) binding protein cytoplasmic 1(PABPC1)
MATR3	matrin 3(MATR3)
PABPC3	poly(A) binding protein cytoplasmic 3(PABPC3)
HNRNPA1	heterogeneous nuclear ribonucleoprotein A1(HNRNPA1)

Gene Group 8	Enrichment Score: 4.306913947627717
OFFICIAL_GENE_SYMBOL	Gene Name
USP6NL	USP6 N-terminal like(USP6NL)
RABGAP1	RAB GTPase activating protein 1(RABGAP1)
TBC1D10B	TBC1 domain family member 10B(TBC1D10B)
TBC1D1	TBC1 domain family member 1(TBC1D1)
FAM53C	family with sequence similarity 53 member C(FAM53C)
TBC1D12	TBC1 domain family member 12(TBC1D12)

Gene Group 9	Enrichment Score: 4.280226084132494
OFFICIAL_GENE_SYMBOL	Gene Name
ZNF638	zinc finger protein 638(ZNF638)
FUBP3	far upstream element binding protein 3(FUBP3)
IGF2BP3	insulin like growth factor 2 mRNA binding protein 3(IGF2BP3)
FUBP1	far upstream element binding protein 1(FUBP1)
KHSRP	KH-type splicing regulatory protein(KHSRP)
PCBP2	poly(rC) binding protein 2(PCBP2)

Gene Group 10	Enrichment Score: 4.2345370916237695
OFFICIAL_GENE_SYMBOL	Gene Name
S100A6	S100 calcium binding protein A6(S100A6)
S100A4	S100 calcium binding protein A4(S100A4)
GCA	grancalcin(GCA)
AIF1	allograft inflammatory factor 1(AIF1)
S100A11	S100 calcium binding protein A11(S100A11)
LCP1	lymphocyte cytosolic protein 1(LCP1)
SRI	sorcin(SRI)
S100A9	S100 calcium binding protein A9(S100A9)
S100A8	S100 calcium binding protein A8(S100A8)

Gene Group 11	Enrichment Score: 3.8589729164405893
OFFICIAL_GENE_SYMBOL	Gene Name
LRRC61	leucine rich repeat containing 61(LRRC61)
NLRP2	NLR family pyrin domain containing 2(NLRP2)
RSU1	Ras suppressor protein 1(RSU1)
LRRC20	leucine rich repeat containing 20(LRRC20)

Gene Group 12	Enrichment Score: 3.6907634304372277
OFFICIAL_GENE_SYMBOL	Gene Name
NBEAL2	neurobeachin like 2(NBEAL2)
PPP2R2D	protein phosphatase 2 regulatory subunit Bdelta(PPP2R2D)
GTF3C2	general transcription factor IIIC subunit 2(GTF3C2)
WDR4	WD repeat domain 4(WDR4)
BRWD1	bromodomain and WD repeat domain containing 1(BRWD1)
WDR37	WD repeat domain 37(WDR37)
TAF5	TATA-box binding protein associated factor 5(TAF5)
WDR73	WD repeat domain 73(WDR73)

Gene Group 13	Enrichment Score: 3.4683712523227292
OFFICIAL_GENE_SYMBOL	Gene Name
PPP2R2D	protein phosphatase 2 regulatory subunit Bdelta(PPP2R2D)
PPP2R1A	protein phosphatase 2 scaffold subunit Aalpha(PPP2R1A)
PPP2R5D	protein phosphatase 2 regulatory subunit B'delta(PPP2R5D)
PPP2R5C	protein phosphatase 2 regulatory subunit B'gamma(PPP2R5C)

Gene Group 14	Enrichment Score: 3.2207080274774933
OFFICIAL_GENE_SYMBOL	Gene Name
CCL23	C-C motif chemokine ligand 23(CCL23)
CCL7	C-C motif chemokine ligand 7(CCL7)
CCL20	C-C motif chemokine ligand 20(CCL20)
CXCL3	C-X-C motif chemokine ligand 3(CXCL3)
CXCL2	C-X-C motif chemokine ligand 2(CXCL2)
CCL2	C-C motif chemokine ligand 2(CCL2)

Gene Group 15	Enrichment Score: 3.1139400984094943
OFFICIAL_GENE_SYMBOL	Gene Name
IVNS1ABP	influenza virus NS1A binding protein(IVNS1ABP)
KLHL24	kelch like family member 24(KLHL24)
KLHL20	kelch like family member 20(KLHL20)
KEAP1	kelch like ECH associated protein 1(KEAP1)

Gene Group 16	Enrichment Score: 3.054308978415662
OFFICIAL_GENE_SYMBOL	Gene Name
TP53BP2	tumor protein p53 binding protein 2(TP53BP2)
ANKRD26	ankyrin repeat domain containing 26(ANKRD26)
ABTB2	ankyrin repeat and BTB domain containing 2(ABTB2)
OSTF1	osteoclast stimulating factor 1(OSTF1)

Gene Group 17	Enrichment Score: 3.002823733799859
OFFICIAL_GENE_SYMBOL	Gene Name
SP140	SP140 nuclear body protein(SP140)
RSF1	remodeling and spacing factor 1(RSF1)
PHF2	PHD finger protein 2(PHF2)
SP100	SP100 nuclear antigen(SP100)
PHF3	PHD finger protein 3(PHF3)
PHF11	PHD finger protein 11(PHF11)
ZMYND11	zinc finger MYND-type containing 11(ZMYND11)

Gene Group 18	Enrichment Score: 2.509960424510631
OFFICIAL_GENE_SYMBOL	Gene Name
TLR8	toll like receptor 8(TLR8)
CD14	CD14 molecule(CD14)
TLR6	toll like receptor 6(TLR6)
LRIG1	leucine rich repeats and immunoglobulin like domains 1(LRIG1)
TLR2	toll like receptor 2(TLR2)
TLR1	toll like receptor 1(TLR1)

Gene Group 19	Enrichment Score: 2.444930762235774
OFFICIAL_GENE_SYMBOL	Gene Name
RNF38	ring finger protein 38(RNF38)
TRIM8	tripartite motif containing 8(TRIM8)
CCNB1IP1	cyclin B1 interacting protein 1(CCNB1IP1)
RNF103	ring finger protein 103(RNF103)

Gene Group 20	Enrichment Score: 2.4101705021293283
OFFICIAL_GENE_SYMBOL	Gene Name
PTPRG	protein tyrosine phosphatase receptor type G(PTPRG)
PTPN2	protein tyrosine phosphatase non-receptor type 2(PTPN2)
PTPRS	protein tyrosine phosphatase receptor type S(PTPRS)
PTPN7	protein tyrosine phosphatase non-receptor type 7(PTPN7)
PTPRC	protein tyrosine phosphatase receptor type C(PTPRC)
PTPRA	protein tyrosine phosphatase receptor type A(PTPRA)

Gene Group 21	Enrichment Score: 2.3459317391288455
OFFICIAL_GENE_SYMBOL	Gene Name
HADH	hydroxyacyl-CoA dehydrogenase(HADH)
HADHA	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha(HADHA)
DECR1	2,4-dienoyl-CoA reductase 1(DECR1)
ACADS	acyl-CoA dehydrogenase short chain(ACADS)

Gene Group 22	Enrichment Score: 2.255328799501639
OFFICIAL_GENE_SYMBOL	Gene Name
TSPAN31	tetraspanin 31(TSPAN31)
SIGLEC5	sialic acid binding Ig like lectin 5(SIGLEC5)
CD33	CD33 molecule(CD33)
CNNM2	cyclin and CBS domain divalent metal cation transport mediator 2(CNNM2)
ITFG1	integrin alpha FG-GAP repeat containing 1(ITFG1)
SYNGR2	synaptogyrin 2(SYNGR2)
ADAM28	ADAM metallopeptidase domain 28(ADAM28)
TMEM176A	transmembrane protein 176A(TMEM176A)
LILRB2	leukocyte immunoglobulin like receptor B2(LILRB2)
LILRB1	leukocyte immunoglobulin like receptor B1(LILRB1)
CD226	CD226 molecule(CD226)
TREM1	triggering receptor expressed on myeloid cells 1(TREM1)
FXYD5	FXYD domain containing ion transport regulator 5(FXYD5)
IL12RB1	interleukin 12 receptor subunit beta 1(IL12RB1)
SCAMP5	secretory carrier membrane protein 5(SCAMP5)
IL11RA	interleukin 11 receptor subunit alpha(IL11RA)
CNNM3	cyclin and CBS domain divalent metal cation transport mediator 3(CNNM3)
KCNJ15	potassium inwardly rectifying channel subfamily J member 15(KCNJ15)
TNFRSF12A	TNF receptor superfamily member 12A(TNFRSF12A)
CD83	CD83 molecule(CD83)
LILRB3	leukocyte immunoglobulin like receptor B3(LILRB3)
LILRA1	leukocyte immunoglobulin like receptor A1(LILRA1)
IL7R	interleukin 7 receptor(IL7R)
KCNJ10	potassium inwardly rectifying channel subfamily J member 10(KCNJ10)
ADAM22	ADAM metallopeptidase domain 22(ADAM22)
ICAM1	intercellular adhesion molecule 1(ICAM1)
PCDH1	protocadherin 1(PCDH1)
TMBIM1	transmembrane BAX inhibitor motif containing 1(TMBIM1)
ANTXR1	ANTXR cell adhesion molecule 1(ANTXR1)
GPR52	G protein-coupled receptor 52(GPR52)
RTP4	receptor transporter protein 4(RTP4)
SIGLEC1	sialic acid binding Ig like lectin 1(SIGLEC1)
SLC24A3	solute carrier family 24 member 3(SLC24A3)
TMEM176B	transmembrane protein 176B(TMEM176B)
IL1RAPL2	interleukin 1 receptor accessory protein like 2(IL1RAPL2)
FCGR2B	Fc gamma receptor IIb(FCGR2B)
CLEC5A	C-type lectin domain containing 5A(CLEC5A)
FCGR1A	Fc gamma receptor Ia(FCGR1A)
SLAMF8	SLAM family member 8(SLAMF8)
SIGLEC7	sialic acid binding Ig like lectin 7(SIGLEC7)
EMP3	epithelial membrane protein 3 (MAM blood group)(EMP3)
FCAR	Fc alpha receptor(FCAR)
NCAM1	neural cell adhesion molecule 1(NCAM1)
FAIM2	Fas apoptotic inhibitory molecule 2(FAIM2)
SECTM1	secreted and transmembrane 1(SECTM1)
VAMP5	vesicle associated membrane protein 5(VAMP5)
MSR1	macrophage scavenger receptor 1(MSR1)
PODXL2	podocalyxin like 2(PODXL2)
LAIR1	leukocyte associated immunoglobulin like receptor 1(LAIR1)
SLC7A7	solute carrier family 7 member 7(SLC7A7)
PTPRS	protein tyrosine phosphatase receptor type S(PTPRS)
PAQR4	progestin and adipoQ receptor family member 4(PAQR4)
HAPLN1	hyaluronan and proteoglycan link protein 1(HAPLN1)
CD207	CD207 molecule(CD207)
PTPRG	protein tyrosine phosphatase receptor type G(PTPRG)
DGCR2	DiGeorge syndrome critical region gene 2(DGCR2)
CEACAM1	CEA cell adhesion molecule 1(CEACAM1)
SIGLEC9	sialic acid binding Ig like lectin 9(SIGLEC9)
SUSD5	sushi domain containing 5(SUSD5)
LY75	lymphocyte antigen 75(LY75)
LY9	lymphocyte antigen 9(LY9)
F3	coagulation factor III, tissue factor(F3)
ASGR2	asialoglycoprotein receptor 2(ASGR2)
CD84	CD84 molecule(CD84)
ROBO3	roundabout guidance receptor 3(ROBO3)
CD300A	CD300a molecule(CD300A)
CLEC2B	C-type lectin domain family 2 member B(CLEC2B)
LRIG1	leucine rich repeats and immunoglobulin like domains 1(LRIG1)
TNFSF15	TNF superfamily member 15(TNFSF15)
SEMA4G	semaphorin 4G(SEMA4G)
SLC23A2	solute carrier family 23 member 2(SLC23A2)
CLEC7A	C-type lectin domain containing 7A(CLEC7A)
IFNGR2	interferon gamma receptor 2(IFNGR2)
IL1R2	interleukin 1 receptor type 2(IL1R2)
APOLD1	apolipoprotein L domain containing 1(APOLD1)
PCDH11X	protocadherin 11 X-linked(PCDH11X)
CD69	CD69 molecule(CD69)
OSMR	oncostatin M receptor(OSMR)
CD53	CD53 molecule(CD53)
CD48	CD48 molecule(CD48)
FXYD3	FXYD domain containing ion transport regulator 3(FXYD3)
IL21R	interleukin 21 receptor(IL21R)

Gene Group 23	Enrichment Score: 2.029299951207
OFFICIAL_GENE_SYMBOL	Gene Name
ZBTB33	zinc finger and BTB domain containing 33(ZBTB33)
CTCF	CCCTC-binding factor(CTCF)
ZNF672	zinc finger protein 672(ZNF672)
HIVEP1	HIVEP zinc finger 1(HIVEP1)
ZNF492	zinc finger protein 492(ZNF492)
ZNF141	zinc finger protein 141(ZNF141)
ZNF219	zinc finger protein 219(ZNF219)
NFIX	nuclear factor I X(NFIX)
ZNF135	zinc finger protein 135(ZNF135)
ZNF711	zinc finger protein 711(ZNF711)
ZNF253	zinc finger protein 253(ZNF253)
ZNF675	zinc finger protein 675(ZNF675)
ZNF510	zinc finger protein 510(ZNF510)
ZIC3	Zic family member 3(ZIC3)
ZEB1	zinc finger E-box binding homeobox 1(ZEB1)
ZNF638	zinc finger protein 638(ZNF638)
ZNF85	zinc finger protein 85(ZNF85)
ZNF674	zinc finger protein 674(ZNF674)
ZNF263	zinc finger protein 263(ZNF263)
ZNF174	zinc finger protein 174(ZNF174)
ZNF79	zinc finger protein 79(ZNF79)
PRDM10	PR/SET domain 10(PRDM10)
MAZ	MYC associated zinc finger protein(MAZ)
ZNF423	zinc finger protein 423(ZNF423)
ZNF768	zinc finger protein 768(ZNF768)
ZNF248	zinc finger protein 248(ZNF248)
ZBTB6	zinc finger and BTB domain containing 6(ZBTB6)
GLI1	GLI family zinc finger 1(GLI1)
ZXDB	zinc finger X-linked duplicated B(ZXDB)
YY1	YY1 transcription factor(YY1)
ZMAT3	zinc finger matrin-type 3(ZMAT3)
TFEC	transcription factor EC(TFEC)
ZNF593	zinc finger protein 593(ZNF593)
ETV1	ETS variant transcription factor 1(ETV1)

Gene Group 24	Enrichment Score: 1.902435891835751
OFFICIAL_GENE_SYMBOL	Gene Name
AKT1	AKT serine/threonine kinase 1(AKT1)
PIK3R2	phosphoinositide-3-kinase regulatory subunit 2(PIK3R2)
PIK3R1	phosphoinositide-3-kinase regulatory subunit 1(PIK3R1)
PIK3CD	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta(PIK3CD)

Gene Group 25	Enrichment Score: 1.857294509797511
OFFICIAL_GENE_SYMBOL	Gene Name
RRAS2	RAS related 2(RRAS2)
RAB6A	RAB6A, member RAS oncogene family(RAB6A)
RAB40C	RAB40C, member RAS oncogene family(RAB40C)
RAP2A	RAP2A, member of RAS oncogene family(RAP2A)
RAB4A	RAB4A, member RAS oncogene family(RAB4A)
DIRAS3	DIRAS family GTPase 3(DIRAS3)
RAB30	RAB30, member RAS oncogene family(RAB30)
RAB11B	RAB11B, member RAS oncogene family(RAB11B)

Gene Group 26	Enrichment Score: 1.7682935741100128
OFFICIAL_GENE_SYMBOL	Gene Name
CFI	complement factor I(CFI)
CFB	complement factor B(CFB)
C2	complement C2(C2)
C1S	complement C1s(C1S)

Gene Group 27	Enrichment Score: 1.757303127180033
OFFICIAL_GENE_SYMBOL	Gene Name
ITGAL	integrin subunit alpha L(ITGAL)
ICAM1	intercellular adhesion molecule 1(ICAM1)
ITGB4	integrin subunit beta 4(ITGB4)
ITGB2	integrin subunit beta 2(ITGB2)

Gene Group 28	Enrichment Score: 1.1792402571779286
OFFICIAL_GENE_SYMBOL	Gene Name
SLC39A6	solute carrier family 39 member 6(SLC39A6)
GPR52	G protein-coupled receptor 52(GPR52)
GPRC5A	G protein-coupled receptor class C group 5 member A(GPRC5A)
FZD10	frizzled class receptor 10(FZD10)
SLC1A5	solute carrier family 1 member 5(SLC1A5)
GPR37L1	G protein-coupled receptor 37 like 1(GPR37L1)
GPR21	G protein-coupled receptor 21(GPR21)
OR2F2	olfactory receptor family 2 subfamily F member 2(OR2F2)
C5AR1	complement C5a receptor 1(C5AR1)
GPR65	G protein-coupled receptor 65(GPR65)
C3AR1	complement C3a receptor 1(C3AR1)
BDKRB1	bradykinin receptor B1(BDKRB1)
CCR5	C-C motif chemokine receptor 5(CCR5)
VIPR2	vasoactive intestinal peptide receptor 2(VIPR2)
CCR1	C-C motif chemokine receptor 1(CCR1)
FPR1	formyl peptide receptor 1(FPR1)
SECTM1	secreted and transmembrane 1(SECTM1)
TSPAN31	tetraspanin 31(TSPAN31)
TACR2	tachykinin receptor 2(TACR2)
P2RY6	pyrimidinergic receptor P2Y6(P2RY6)
FSHR	follicle stimulating hormone receptor(FSHR)
TRPM8	transient receptor potential cation channel subfamily M member 8(TRPM8)
SLC6A6	solute carrier family 6 member 6(SLC6A6)

Gene Group 29	Enrichment Score: 0.43950654067739897
OFFICIAL_GENE_SYMBOL	Gene Name
GOLIM4	golgi integral membrane protein 4(GOLIM4)
CHSY1	chondroitin sulfate synthase 1(CHSY1)
FUT4	fucosyltransferase 4(FUT4)
ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4(ST8SIA4)
MGAT5	alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase(MGAT5)
TPST1	tyrosylprotein sulfotransferase 1(TPST1)
MAN1C1	mannosidase alpha class 1C member 1(MAN1C1)
TPST2	tyrosylprotein sulfotransferase 2(TPST2)

